lug_id,lug_abreviatura,lug_nombre,lug_tipo,parent_lug_id
1,AMER,América,continente,
2,EURO,Europa,continente,
3,ASIA,Asia,continente,
4,AFRI,África,continente,
5,OCEAN,Ocenía,continente,
6,AFG,Afganistán,pais,
7,ALB,Albania,pais,
8,DEU,Alemania,pais,
9,DZA,Algeria,pais,
10,AGO,Angola,pais,
11,AIA,Anguila,pais,
12,ATA,Antártida,pais,
13,ATG,Antigua y Barbuda,pais,
14,ANT,Antillas Neerlandesas,pais,
15,SAU,Arabia Saudita,pais,
16,ARG,Argentina,pais,
17,ARM,Armenia,pais,
18,ABW,Aruba,pais,
19,AUS,Australia,pais,
20,AUT,Austria,pais,
21,AZE,Azerbayán,pais,
22,BEL,Bélgica,pais,2
23,BHS,Bahamas,pais,
24,BHR,Bahrein,pais,
25,BGD,Bangladesh,pais,
26,BRB,Barbados,pais,
27,BLZ,Belice,pais,
28,BEN,Benín,pais,
29,BTN,Bhután,pais,
30,BLR,Bielorrusia,pais,
31,MMR,Birmania,pais,
32,BOL,Bolivia,pais,
33,BIH,Bosnia y Herzegovina,pais,
34,BWA,Botsuana,pais,
35,BRA,Brasil,pais,
36,BRN,Brunéi,pais,
37,BGR,Bulgaria,pais,
38,BFA,Burkina Faso,pais,
39,BDI,Burundi,pais,
40,CPV,Cabo Verde,pais,
41,KHM,Camboya,pais,
42,CMR,Camerún,pais,
43,CAN,Canadá,pais,
44,TCD,Chad,pais,
45,CHL,Chile,pais,
46,CHN,China,pais,
47,CYP,Chipre,pais,
48,VAT,Ciudad del Vaticano,pais,
49,COL,Colombia,pais,1
50,COM,Comoras,pais,
51,COG,Congo,pais,
52,COD,Congo,pais,
53,PRK,Corea del Norte,pais,
54,KOR,Corea del Sur,pais,
55,CIV,Costa de Marfil,pais,
56,CRI,Costa Rica,pais,
57,HRV,Croacia,pais,
58,CUB,Cuba,pais,
59,DNK,Dinamarca,pais,
60,DMA,Dominica,pais,
61,ECU,Ecuador,pais,
62,EGY,Egipto,pais,
63,SLV,El Salvador,pais,
64,ARE,Emiratos Árabes Unidos,pais,
